date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:25:07	289/289	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Feb%202020%2012:25:08%20GMT	http://90.147.102.243:8080/robots.txt		(from )
13:25:07	5319/5319	---M-Z	200	added ('OK')	text/html	etag:%2214c7-59ca79e4ef740-gzip%22	http://90.147.102.243:8080/foodrecsys/	C:/Mie%20pagine%20Web/foodrecsys/90.147.102.243_8080/foodrecsys/index.html	(from )
13:25:08	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%221550076050%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	C:/Mie%20pagine%20Web/foodrecsys/stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from http://90.147.102.243:8080/foodrecsys/)
13:25:08	12965/12965	---M-Z	200	added ('OK')	text/css	etag:%2232a5-596878fe1fcd6-gzip%22	http://90.147.102.243:8080/foodrecsys/css/style.min.css	C:/Mie%20pagine%20Web/foodrecsys/90.147.102.243_8080/foodrecsys/css/style.min.css	(from http://90.147.102.243:8080/foodrecsys/)
13:25:08	5319/5319	---M-Z	200	added ('OK')	text/html	etag:%2214c7-59ca79e4ef740-gzip%22	http://90.147.102.243:8080/foodrecsys/index.html	C:/Mie%20pagine%20Web/foodrecsys/90.147.102.243_8080/foodrecsys/index-2.html	(from http://90.147.102.243:8080/foodrecsys/)
13:25:09	24391/24391	---M-Z	200	added ('OK')	text/html	etag:%225f47-596878fd39556-gzip%22	http://90.147.102.243:8080/foodrecsys/form.html	C:/Mie%20pagine%20Web/foodrecsys/90.147.102.243_8080/foodrecsys/form.html	(from http://90.147.102.243:8080/foodrecsys/)
13:25:09	18199/18199	---M-Z	200	added ('OK')	text/html	etag:%224717-596878fd867b6-gzip%22	http://90.147.102.243:8080/foodrecsys/privacy.html	C:/Mie%20pagine%20Web/foodrecsys/90.147.102.243_8080/foodrecsys/privacy.html	(from http://90.147.102.243:8080/foodrecsys/)
13:25:12	69917/69917	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a637bd4-1111d%22	https://code.jquery.com/jquery-3.3.1.slim.min.js	C:/Mie%20pagine%20Web/foodrecsys/code.jquery.com/jquery-3.3.1.slim.min.js	(from http://90.147.102.243:8080/foodrecsys/)
13:25:12	58072/58072	---M-Z	200	added ('OK')	text/javascript	etag:%221550076057%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	C:/Mie%20pagine%20Web/foodrecsys/stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from http://90.147.102.243:8080/foodrecsys/)
13:25:12	21004/21004	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c5043f8-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	C:/Mie%20pagine%20Web/foodrecsys/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from http://90.147.102.243:8080/foodrecsys/)
13:25:18	64822/64822	---M--	200	added ('OK')	image/jpeg	etag:%22fd36-596878ff073f6%22	http://90.147.102.243:8080/foodrecsys/img/bg.jpg	C:/Mie%20pagine%20Web/foodrecsys/90.147.102.243_8080/foodrecsys/img/bg.jpg	(from http://90.147.102.243:8080/foodrecsys/css/style.min.css)
13:25:41	703734/703734	---M--	200	added ('OK')	image/png	etag:%22abcf6-596878fe8b396%22	http://90.147.102.243:8080/foodrecsys/icons/icon.png	C:/Mie%20pagine%20Web/foodrecsys/90.147.102.243_8080/foodrecsys/icons/icon.png	(from http://90.147.102.243:8080/foodrecsys/)
13:25:42	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a637bd4-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	C:/Mie%20pagine%20Web/foodrecsys/code.jquery.com/jquery-3.3.1.min.js	(from http://90.147.102.243:8080/foodrecsys/form.html)
